,Home,Away,Time,Fixture,Score,Draw,Date,Home Team,Away Team,Home Odds,Away Odds,Draw Odds
43,211/100,67/50,14:00,Southampton - West Ham,0:0,253/100,11 Sep 2021,Southampton , West Ham,3.11,2.34,3.53
44,66/25,31/25,14:00,Watford - Wolves,0:2,221/100,11 Sep 2021,Watford , Wolves,3.64,2.24,3.21
45,303/100,107/100,11:30,Crystal Palace - Tottenham,3:0,47/20,11 Sep 2021,Crystal Palace , Tottenham,4.03,2.07,3.35
48,393/100,39/50,15:30,Wolves - Manchester Utd,0:1,69/25,29 Aug 2021,Wolves , Manchester Utd,4.93,1.78,3.76
49,231/100,61/50,13:00,Burnley - Leeds,1:1,64/25,29 Aug 2021,Burnley , Leeds,3.31,2.22,3.56
50,23/50,709/100,13:00,Tottenham - Watford,1:0,87/25,29 Aug 2021,Tottenham , Watford,1.46,8.09,4.48
53,29/20,207/100,16:30,Liverpool - Chelsea,1:1,237/100,28 Aug 2021,Liverpool , Chelsea,2.45,3.07,3.37
54,109/100,74/25,14:00,Aston Villa - Brentford,1:1,233/100,28 Aug 2021,Aston Villa , Brentford,2.09,3.96,3.33
55,33/25,239/100,14:00,Brighton - Everton,0:2,113/50,28 Aug 2021,Brighton , Everton,2.32,3.39,3.26
56,73/50,19/10,14:00,Newcastle - Southampton,2:2,257/100,28 Aug 2021,Newcastle , Southampton,2.46,2.9,3.57
57,13/4,91/100,14:00,Norwich - Leicester,1:2,53/20,28 Aug 2021,Norwich , Leicester,4.25,1.91,3.65
58,57/100,561/100,14:00,West Ham - Crystal Palace,2:2,311/100,28 Aug 2021,West Ham , Crystal Palace,1.57,6.61,4.11
59,7/20,911/100,11:30,Manchester City - Arsenal,5:0,429/100,28 Aug 2021,Manchester City , Arsenal,1.35,10.11,5.29
62,147/100,193/100,19:00,West Ham - Leicester,4:1,249/100,23 Aug 2021,West Ham , Leicester,2.47,2.93,3.49
65,359/100,22/25,15:30,Arsenal - Chelsea,0:2,51/20,22 Aug 2021,Arsenal , Chelsea,4.59,1.88,3.55
66,111/25,63/100,13:00,Southampton - Manchester Utd,1:1,13/4,22 Aug 2021,Southampton , Manchester Utd,5.44,1.63,4.25
67,39/20,171/100,13:00,Wolves - Tottenham,0:1,21/10,22 Aug 2021,Wolves , Tottenham,2.95,2.71,3.1
70,37/50,457/100,16:30,Brighton - Watford,2:0,259/100,21 Aug 2021,Brighton , Watford,1.74,5.57,3.59
71,21/25,83/25,14:00,Aston Villa - Newcastle,2:0,29/10,21 Aug 2021,Aston Villa , Newcastle,1.84,4.32,3.9
72,83/50,191/100,14:00,Crystal Palace - Brentford,0:0,219/100,21 Aug 2021,Crystal Palace , Brentford,2.66,2.91,3.19
73,113/100,13/5,14:00,Leeds - Everton,2:2,251/100,21 Aug 2021,Leeds , Everton,2.13,3.6,3.51
74,13/100,2281/100,14:00,Manchester City - Norwich,5:0,227/25,21 Aug 2021,Manchester City , Norwich,1.13,23.81,10.08
75,1/4,571/50,11:30,Liverpool - Burnley,2:0,277/50,21 Aug 2021,Liverpool , Burnley,1.25,12.42,6.54
